,id,name,producer,nation,local1,local2,local3,local4,varieties1,varieties2,varieties3,varieties4,varieties5,varieties6,varieties7,varieties8,varieties9,varieties10,varieties11,varieties12,type,use,degree,abv,sweet,acidity,body,tannin,price,year,ml,av_rating,src
0,137197,Altair,Altair,Chile,Rapel Valley,0,0,0,Cabernet Sauvignon,Carmenere,Merlot,0,0,0,0,0,0,0,0,0,Red,Table,14.5,18.0,1,4,5,4,220000,2014,750,0,0
1,137198,"Altair, Sideral",Altair,Chile,Rapel Valley,0,0,0,Cabernet Sauvignon,Merlot,Carmenere,Cabernet Franc,Syrah & Shiraz,Petit Verdot,0,0,0,0,0,0,Red,Table,14.5,17.0,1,3,4,4,110000,2016,750,0,0
2,137204,"Calvet, Bordeaux Red",Calvet,France,Bordeaux,0,0,0,Merlot,Cabernet Sauvignon,0,0,0,0,0,0,0,0,0,0,Red,Table,13.5,17.0,1,3,2,3,21000,2011,750,0,0
3,137205,"Calvet, Bordeaux white",Calvet,France,Bordeaux,0,0,0,Sauvignon blanc,Semillon,Muscadet,0,0,0,0,0,0,0,0,0,White,Table,11.5,10.0,1,4,2,1,21000,2010,750,0,0
4,137207,"Calvet, Varietals Cabernet Sauvignon",Calvet,France,Southern France,Languedoc Roussillon,0,0,Cabernet Sauvignon,0,0,0,0,0,0,0,0,0,0,0,Red,Table,13.5,17.0,1,3,2,3,19000,2017,750,0,0
5,137208,"Calvet, Varietals Merlot",Calvet,France,Southern France,Languedoc Roussillon,0,0,Merlot,0,0,0,0,0,0,0,0,0,0,0,Red,Table,13.5,17.0,1,3,3,3,19000,2011,750,0,0
6,137209,"Calvet, Reserve Bordeaux white",Calvet,France,Bordeaux,0,0,0,Sauvignon blanc,Semillon,Etc,0,0,0,0,0,0,0,0,0,White,Table,11.5,10.0,1,4,2,1,28000,2011,750,0,0
7,137210,"Calvet, Premieres Cotes de Bordeaux",Calvet,France,Bordeaux,Premieres Cotes de Bordeaux,0,0,Semillon,Sauvignon blanc,Muscadet,0,0,0,0,0,0,0,0,0,White,Dessert,13.0,11.0,2,4,3,1,18000,2009,750,0,0
8,137212,"Calvet, Medoc",Calvet,France,Bordeaux,Medoc,0,0,Cabernet Sauvignon,Merlot,Cabernet Franc,Petit Verdot,0,0,0,0,0,0,0,0,Red,Table,12.5,17.0,1,4,3,3,32000,2015,750,0,0
9,137214,"Calvet, Saint Emilion",Calvet,France,Bordeaux,SaintEmilion,0,0,Merlot,Cabernet Franc,0,0,0,0,0,0,0,0,0,0,Red,Table,12.5,17.0,1,3,2,2,42000,2010,750,0,0
10,137222,La Carillon de l'Angelus,Chateau Angelus 1st Grand Cru ClasseA,France,Bordeaux,SaintEmilion Grand Cru,0,0,Merlot,Cabernet Sauvignon,Cabernet Franc,0,0,0,0,0,0,0,0,0,Red,Table,13.5,17.0,1,3,4,4,250000,2017,750,0,0
11,137224,Chateau Brillette,Chateau Brillette,France,Bordeaux,Moulis,0,0,Merlot,Cabernet Sauvignon,Cabernet Franc,Petit Verdot,0,0,0,0,0,0,0,0,Red,Table,13.5,17.0,1,4,3,3,85000,2013,750,0,0
12,137225,Le Bailly de Camensac,Chateau Camensac Grand Cru Classe5th Cru,France,Bordeaux,HautMedoc,0,0,Cabernet Sauvignon,Merlot,0,0,0,0,0,0,0,0,0,0,Red,Table,13.5,17.0,1,4,4,3,50000,2006,750,0,0
13,137226,L'oratoire de Chasse Spleen,Chateau Chasse Spleen,France,Bordeaux,0,0,0,Cabernet Sauvignon,Merlot,Cabernet Franc,0,0,0,0,0,0,0,0,0,Red,Table,13.0,17.0,1,4,3,4,50000,2017,750,0,0
14,137232,Chateau Durfort Vivens,Chateau DurfortVivens Grand Cru Classe2nd Cru,France,Bordeaux,Margaux,0,0,Cabernet Sauvignon,Merlot,Cabernet Franc,0,0,0,0,0,0,0,0,0,Red,Table,13.5,17.0,1,4,4,4,140000,2017,750,0,0
15,137235,La sirene de Giscours,Chateau Giscours Grand Cru Classe3rd Cru,France,Bordeaux,Margaux,0,0,Cabernet Sauvignon,Merlot,Cabernet Franc,Petit Verdot,0,0,0,0,0,0,0,0,Red,Table,12.5,17.0,1,3,4,3,80000,2016,750,0,0
16,137237,Chateau Haut Bages Averous,Chateau Lynch Bages Grand Cru Classe5th Cru,France,Bordeaux,Pauillac,0,0,Cabernet Sauvignon,Merlot,Cabernet Franc,0,0,0,0,0,0,0,0,0,Red,Table,13.5,17.0,1,4,4,5,120000,2015,750,0,0
