,nation,varieties1,varieties2,varieties3,varieties4,varieties5,varieties7,varieties7,varieties8,varieties9,varieties10,varieties11,abv,degree,sweet,acidity,body,tannin
0,6,308,298,178,316,316,316,316,316,316,316,316,18.0,14.5,1,4,5,4
1,6,308,178,298,212,75,316,316,316,316,316,316,17.0,14.5,1,3,4,4
2,17,178,308,316,316,316,316,316,316,316,316,316,17.0,13.5,1,3,2,3
3,17,211,195,120,316,316,316,316,316,316,316,316,10.0,11.5,1,4,2,1
4,17,308,316,316,316,316,316,316,316,316,316,316,17.0,13.5,1,3,2,3
5,17,178,316,316,316,316,316,316,316,316,316,316,17.0,13.5,1,3,3,3
6,17,211,195,321,316,316,316,316,316,316,316,316,10.0,11.5,1,4,2,1
7,17,195,211,120,316,316,316,316,316,316,316,316,11.0,13.0,2,4,3,1
8,17,308,178,212,187,316,316,316,316,316,316,316,17.0,12.5,1,4,3,3
9,17,178,212,316,316,316,316,316,316,316,316,316,17.0,12.5,1,3,2,2
10,17,178,308,212,316,316,316,316,316,316,316,316,17.0,13.5,1,3,4,4
11,17,178,308,212,187,316,316,316,316,316,316,316,17.0,13.5,1,4,3,3
12,17,308,178,316,316,316,316,316,316,316,316,316,17.0,13.5,1,4,4,3
13,17,308,178,212,316,316,316,316,316,316,316,316,17.0,13.0,1,4,3,4
14,17,308,178,212,316,316,316,316,316,316,316,316,17.0,13.5,1,4,4,4
15,17,308,178,212,187,316,316,316,316,316,316,316,17.0,12.5,1,3,4,3
16,17,308,178,212,316,316,316,316,316,316,316,316,17.0,13.5,1,4,4,5
17,17,308,178,316,316,316,316,316,316,316,316,316,17.0,13.0,1,4,4,4
18,6,298,308,212,316,316,316,316,316,316,316,316,17.0,14.5,1,3,5,5
19,6,308,316,316,316,316,316,316,316,316,316,316,17.0,13.5,1,3,3,3
20,6,298,316,316,316,316,316,316,316,316,316,316,17.0,13.5,1,3,3,3
21,6,308,298,212,316,316,316,316,316,316,316,316,17.0,14.5,1,4,3,4
22,6,298,308,187,212,316,316,316,316,316,316,316,17.0,14.5,1,3,4,4
23,1,308,71,178,316,316,316,316,316,316,316,316,17.0,14.5,1,3,5,5
24,1,67,316,316,316,316,316,316,316,316,316,316,11.0,13.5,1,4,2,1
25,1,90,316,316,316,316,316,316,316,316,316,316,16.0,14.5,1,4,3,3
26,1,308,316,316,316,316,316,316,316,316,316,316,17.0,13.5,1,3,4,4
27,1,178,308,321,316,316,316,316,316,316,316,316,18.0,13.9,1,3,4,3
28,1,90,79,316,316,316,316,316,316,316,316,316,17.0,14.0,1,3,3,2
29,17,178,212,308,316,316,316,316,316,316,316,316,17.0,12.5,1,4,3,3
30,17,178,212,308,316,316,316,316,316,316,316,316,17.0,12.5,1,3,3,3
31,17,195,211,316,316,316,316,316,316,316,316,316,11.0,12.0,1,4,2,1
32,17,195,211,316,316,316,316,316,316,316,316,316,11.0,12.5,1,3,2,1
33,17,178,308,316,316,316,316,316,316,316,316,316,17.0,13.0,1,3,3,3
